,hour,longitude,latitude,value
0,0,117.2034,34.2703,249
1,0,118.7857,32.0886,244
2,0,118.8014,32.0139,242
3,0,118.7719,32.0226,235
4,0,118.8137,32.0878,233
5,0,118.7726,32.1067,208
6,0,118.7288,32.1363,202
7,0,118.756,32.1023,202
8,0,118.7995,32.0175,202
9,0,118.7975,32.0043,201
10,0,118.7872,32.0983,201
11,0,118.754,32.104,201
12,0,118.7965,31.9949,197
13,0,118.7901,32.0502,195
14,0,118.815,31.9818,193
15,0,118.7897,32.082,193
16,0,118.7845,32.0225,192
17,0,118.8096,32.0402,190
18,0,118.8092,32.0299,189
19,0,118.7818,32.0399,186
20,0,118.7401,32.121,184
21,0,118.8147,32.0448,183
22,0,118.7771,32.013,182
23,0,118.798,32.0158,182
24,0,118.7666,32.018,180
25,0,118.7746,32.0269,179
26,0,118.8073,32.0249,178
27,0,118.7748,32.0275,177
28,0,118.7638,32.0517,177
29,0,118.78,32.0142,175
30,0,118.8163,31.9911,174
31,0,118.8021,32.0933,174
32,0,118.7845,32.0314,173
33,0,118.81,32.0891,171
34,0,118.7936,32.0493,170
35,0,118.7943,32.0372,168
36,0,118.811,31.983,168
37,0,118.8184,31.9729,168
38,0,118.7546,32.1043,167
39,0,118.7894,32.071,167
40,0,118.7841,32.0378,164
41,0,118.7773,32.0778,164
42,0,118.7637,32.0797,162
43,0,118.7564,32.1109,162
44,0,118.7406,32.1243,161
45,0,118.7952,31.9944,155
46,0,118.8117,32.0547,154
47,0,118.7946,32.066,154
48,0,118.7929,32.0247,154
49,0,118.7671,32.0825,153
50,0,118.7701,32.0681,152
51,0,118.7526,32.0979,150
52,0,118.7725,32.0976,150
53,0,121.3629,31.2346,150
54,0,118.8195,31.9787,149
55,0,118.8249,32.1159,148
56,0,118.7824,32.0723,147
57,0,118.8118,32.0494,147
58,0,118.7837,32.0402,146
59,0,118.7737,32.0587,145
60,0,118.7934,32.0533,145
61,0,118.7466,31.9902,142
62,0,118.7657,32.0153,142
63,0,121.6068,31.2081,140
64,0,118.5183,31.706,140
65,0,118.7545,32.0085,139
66,0,118.7878,32.0056,136
67,0,118.8282,31.9493,134
68,0,118.7722,32.0912,134
69,0,118.8139,32.1003,133
70,0,118.7982,32.0518,133
71,0,118.8211,31.9692,133
72,0,118.7716,32.0019,133
73,0,118.8174,32.1088,132
74,0,118.7906,32.0935,132
75,0,118.7456,32.0301,131
76,0,118.8376,32.0996,131
77,0,118.7557,32.0267,130
78,0,118.8206,31.9596,130
79,0,118.8277,31.9667,130
80,0,118.8076,32.1078,129
81,0,118.5136,31.7171,129
82,0,118.7955,32.0731,129
83,0,118.8392,32.0927,129
84,0,118.7793,32.0749,129
85,0,118.7875,32.1048,123
86,0,121.485,30.9134,123
87,0,118.7811,32.1045,121
88,0,118.8409,32.109,121
89,0,118.8234,32.0905,121
90,0,118.7567,32.0893,119
91,0,118.7343,32.1382,118
92,0,118.8521,31.9546,118
93,0,118.7965,32.0561,117
94,0,118.7416,31.9844,116
95,0,118.7582,31.9902,116
96,0,118.7638,32.0601,115
97,0,118.7789,32.0558,114
98,0,118.8006,32.0882,113
99,0,118.8721,32.0966,113
100,0,118.748,32.0342,113
101,0,118.8782,32.1039,112
102,0,118.8152,32.0585,111
103,0,118.819,31.9353,110
104,0,118.8849,32.0939,110
105,0,118.7928,32.0554,110
106,0,118.7641,32.075,110
107,0,118.8047,32.0425,109
108,0,118.8948,32.0911,109
109,0,118.7602,32.0773,109
110,0,118.7402,32.1243,108
111,0,118.7274,32.151,107
112,0,118.8391,32.124,107
113,0,118.7504,32.0187,107
114,0,118.7427,32.0378,107
115,0,118.8973,32.0917,106
116,0,118.7298,32.0007,105
117,0,118.817,32.0953,104
118,0,116.3798,39.8729,104
119,0,118.7402,32.0205,103
120,0,118.8893,32.1025,102
121,0,118.7307,31.9986,101
122,0,118.7679,32.0898,101
123,0,118.8373,31.9346,101
124,0,118.7397,32.0112,99
125,0,118.7474,32.0709,99
126,0,118.7506,32.058,98
127,0,118.8194,31.9464,97
128,0,118.7964,32.1013,97
129,0,118.8325,31.9568,97
130,0,118.8209,32.1167,97
131,0,118.8203,31.9442,96
132,0,118.7397,31.9955,96
133,0,118.76,31.9993,96
134,0,118.7512,32.0847,95
135,0,118.8039,32.0383,94
136,0,118.7386,32.1441,94
137,0,102.7256,25.0398,93
138,0,118.8251,32.0335,93
139,0,118.7609,32.0389,93
140,0,118.8561,32.0987,93
141,0,118.7947,31.997,92
142,0,118.8606,31.9553,91
143,0,118.7283,31.9785,91
144,0,118.85,31.9674,91
145,0,118.8142,32.0924,91
146,0,119.1887,34.6103,90
147,0,118.7903,31.9885,90
148,0,118.7305,31.9791,90
149,0,118.9126,32.0926,90
150,0,118.7704,32.006,89
151,0,118.7799,31.9892,88
152,0,118.9075,32.0833,88
153,0,118.8505,31.9586,88
154,0,118.8723,31.9525,87
155,0,118.7294,32.1406,87
156,0,118.8684,31.9511,86
157,0,118.7919,31.9739,86
158,0,118.6406,32.0753,86
159,0,118.8985,32.069,85
160,0,118.8339,32.124,85
161,0,118.7418,32.0441,85
162,0,118.7618,32.0301,85
163,0,118.7246,31.9771,84
164,0,118.8708,31.9608,84
165,0,118.7956,32.1214,83
166,0,118.8502,32.0426,83
167,0,118.899,32.0547,83
168,0,118.7455,32.0442,83
169,0,118.7698,31.9794,83
170,0,118.8257,32.0403,82
171,0,118.8574,31.9353,82
172,0,118.8364,31.9473,82
173,0,118.8169,32.0348,81
174,0,118.6524,32.0688,81
175,0,118.8249,32.0778,81
176,0,118.8286,32.0227,80
177,0,118.5138,31.6951,80
178,0,118.9016,32.1069,80
179,0,118.7993,32.0288,80
180,0,118.8305,31.9309,80
181,0,118.7453,32.0567,79
182,0,118.7726,32.0484,79
183,0,118.7617,31.9766,79
184,0,118.7943,31.9631,79
185,0,118.7975,32.0444,79
186,0,118.7956,31.9888,79
187,0,118.8626,32.0489,78
188,0,118.7396,32.0332,78
189,0,118.6391,32.0668,78
190,0,118.7566,32.0622,78
191,0,118.7655,32.0384,78
192,0,118.8175,32.0718,78
193,0,118.8205,32.0711,78
194,0,118.8319,32.0412,78
195,0,118.7448,32.077,77
196,0,118.8925,32.056,77
197,0,118.787,31.965,77
198,0,118.7441,32.0121,77
199,0,118.8977,32.0563,77
200,0,118.8265,32.1307,77
201,0,118.7841,32.1125,77
202,0,118.7841,32.0004,76
203,0,118.7607,32.0507,76
204,0,118.8413,32.1083,76
205,0,118.798,31.9848,76
206,0,118.9,32.1053,75
207,0,118.7678,32.029,75
208,0,118.8479,32.0944,75
